key_resp.keys,key_resp.corr,tilt,,hit,miss,false alarm (fa),correct rejection (cr),,
up,0,-1,,,,1,,,
up,1,0,up = VERTICAL,1,,,,,
up,0,4,,,,1,,,
up,1,0,down= TILT ,1,,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,0,-1,,,,1,,,
down,0,0,0= signal present= no tilt ,,1,,,,
down,1,-3,,,,,1,,
up,0,2,,,,1,,,
down,1,-2,,,,,1,,
down,0,0,,,1,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,0,2,,,,1,,,
up,1,0,,1,,,,,
down,0,0,,,1,,,,
up,0,-2,,,,1,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,0,-1,,,,1,,,
up,1,0,,1,,,,,
down,0,0,,,1,,,,
up,0,-1,,,,1,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,0,0,,,1,,,,
up,0,-4,,,,,1,,
down,1,1,,,,,1,,
down,1,-1,,,,,1,,
up,1,0,,1,,,,,
down,1,2,,,,,1,,
up,1,0,,1,,,,,
up,0,2,,,,1,,,
down,0,0,,,1,,,,
up,0,-3,,,,1,,,
up,0,3,,,,1,,,
up,1,0,,1,,,,,
down,1,-4,,,,,1,,
down,1,-2,,,,,1,,
up,1,0,,,,,1,,
up,0,2,,1,,,,,
down,1,2,,,,,1,,
up,1,0,,1,,,,,
up,0,-3,,,,1,,,
down,1,-4,,,,,1,,
down,0,0,,,1,,,,
down,0,0,,,1,,,,
down,0,0,,,1,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
down,0,0,,,1,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,0,-2,,,,1,,,
up,0,1,,,,1,,,
down,1,-5,,,,,1,,
down,1,-3,,,,,1,,
down,1,-4,,,,,1,,
down,0,0,,,1,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,0,4,,,,1,,,
up,0,3,,,,1,,,
up,0,0,,,1,,,,
down,0,0,,,1,,,,
up,0,3,,,,1,,,
up,1,0,,1,,,,,
up,0,-1,,,,1,,,
up,1,0,,1,,,,,
up,0,-5,,,,1,,,
up,0,0,,,1,,,,
up,1,0,,1,,,,,
up,0,-1,,,,1,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,0,-5,,,,1,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
down,1,1,,,,,1,,
up,0,0,,,1,,,,
up,1,0,,1,,,,,
up,0,3,,,,1,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,1,0,,1,,,,,
up,0,-3,,,,1,,,
up,0,2,,,,1,,,
up,1,0,,1,,,,,
down,0,0,,,1,,,,
up,1,0,,1,,,,,
up,0,3,,,,1,,,
up,0,3,,,,1,,,
up,0,3,,,,1,,,
up,1,0,,1,,,,,
,,,,hits,miss,false alarm (fa),cr,,
,,,sum ,42,16,27,15,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,Respond Yes ,Respond NO,,prop hit = hit/hit + miss,0.724137931,
,,,signal present ,Hit,Miss,,prop fa = fa/fa + corr rejection,0.642857143,
,,,signal absent ,False Alarm ,Correct Rejection ,,,,
,,,,,,,,,
,,,,,,,,,
,,,,Respondd YES,Respond NO,,d-prime = z(prop hit) - z(prop fa),0.229072177,d'value
,,,signal present ,42,16,,c = -z(prop hit) + z(prop fa)/2,-0.480642445,criterion 
,,,signal absent ,27,15,,,,